id,name<jpn>,type,stageCount,stageEventCount,eventRarity,enemyLevel,prioritizeItem,option,optionArgs[],startEvent,startEventArgs[],fixedStages[],image,sound,outside<jpn>,describe<jpn>
talk00,talk,talk,1,0,-1,-1,-,-,-,-,-,-,-,,-,
firstApartmen00,誰もいないアパート,firstApartmen00,2,1,1,1,-,-,-,-,-,-,location00,environment00,外に繋がる扉,並んだ扉もガラス窓も、全部開け放たれている。<br>荒れ果てたこのアパートには、とても人が住んでいるようには見えない。
marble00,何もないどこか,marble,2,0,0,0,-,-,-,,-,-,scenario24,scenario07,-,耳を澄ませば、かすかに何かの音が聞こえる。<br>ただのノイズのようでもあるけれど、じっと聞いていると、それが何か、よく知った音色に思えてくる。
endApartmen00,誰もいないアパート,endApartmen00,2,1,1,1,-,LocationOptionNoBattle,-,-,-,-,location00,environment00,外に繋がる扉,並んだ扉もガラス窓も、全部開け放たれている。<br>荒れ果てたこのアパートには、とても人が住んでいるようには見えない。
-,,,,,,,,,,,,,,,,
apartment00,人気のないアパート,apartment,2,1,5,3,food02,-,-,-,-,-,location00,environment00,外に繋がる扉,並んだ扉もガラス窓も、全部開け放たれている。<br>荒れ果てたこのアパートには、とても人が住んでいるようには見えない。
apartment01,荒らされたあとのアパート,apartment,2,1,10,10,food01,-,-,-,-,-,location28,environment00,外に繋がる扉,並んだ扉もガラス窓も、全部開け放たれている。<br>荒れ果てたこのアパートには、とても人が住んでいるようには見えない。
apartment02,燃えた跡のあるアパート,apartment,2,2,15,15,food05,-,-,-,-,-,location06,environment00,外に繋がる扉,並んだ扉もガラス窓も、全部開け放たれている。<br>荒れ果てたこのアパートには、とても人が住んでいるようには見えない。
-,,,,,,,,,,,,,,,,
hut00,寂れた小屋,hut,2,1,5,3,ammo00,LocationOptionExitBroken,1,-,-,-,location01,environment01,外に繋がる扉,もともと何に使われていたものだろう。<br>簡素なつくりの小さな小屋は、きっとずっと前から変わらずに訪れる人を待っている。
hut01,しばらく使われていない小屋,hut,2,1,5,10,ammo00,LocationOptionExitBroken,1,-,-,-,location29,environment01,外に繋がる扉,もともと何に使われていたものだろう。<br>簡素なつくりの小さな小屋は、きっとずっと前から変わらずに訪れる人を待っている。
hut02,煙突のある小屋,hut,2,2,10,18,ammo01,LocationOptionExitBroken,1,-,-,-,location07,environment01,外に繋がる扉,もともと何に使われていたものだろう。<br>簡素なつくりの小さな小屋は、きっとずっと前から変わらずに訪れる人を待っている。
hut100,暖炉のある小屋,hut,2,1,10,12,ammo00,-,-,ConfirmEnemyBossEvent,encount/id/enemyBoss100,-,location53,environment01,外に繋がる扉,もともと何に使われていたものだろう。<br>簡素なつくりの小さな小屋は、きっとずっと前から変わらずに訪れる人を待っている。
-,,,,,,,,,,,,,,,,
shop00,空っぽのお店,shop,3,1,10,4,biscuit01,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location02,environment00,外に繋がる扉,ガラスが割れ、棚が砕け、かつての活気は失われた。<br>ものの流れが途絶えた店は、時の止まったように静かだった。
shop01,シャッターの下りた店舗,shop,3,2,15,15,food03,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location30,environment00,外に繋がる扉,ガラスが割れ、棚が砕け、かつての活気は失われた。<br>ものの流れが途絶えた店は、時の止まったように静かだった。
shop02,荒らされた小売店,shop,3,2,20,20,food04,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location08,environment00,外に繋がる扉,ガラスが割れ、棚が砕け、かつての活気は失われた。<br>ものの流れが途絶えた店は、時の止まったように静かだった。
-,,,,,,,,,,,,,,,,
office00,小さな事務所,office,2,1,5,5,material01,-,-,InsertStageEventsEvent,0.3/enterEnemyHouse/exitEnemyHouse/battleForcibly00/2,-,location03,environment02,外に繋がる扉,どんな人たちが働いていたのかもわからない事務所。<br>見ているだけでも、コンクリートの冷たさに身が震える。
office01,ガラスの割れたビル,office,2,2,10,12,bell01,-,-,InsertStageEventsEvent,0.2/enterEnemyHouse/exitEnemyHouse/battleForcibly00/3,-,location31,environment02,外に繋がる扉,どんな人たちが働いていたのかもわからない事務所。<br>見ているだけでも、コンクリートの冷たさに身が震える。
office02,人の消えたオフィスビル,office,2,2,15,16,material01,-,-,InsertStageEventsEvent,0.1/enterEnemyHouse/exitEnemyHouse/battleForcibly00/4,-,location09,environment02,外に繋がる扉,どんな人たちが働いていたのかもわからない事務所。<br>見ているだけでも、コンクリートの冷たさに身が震える。
-,,,,,,,,,,,,,,,,
palace00,朽ちた洋館,palace,3,1,10,12,gun00,LocationOptionAfterSearchEvent,0.3/-/itemGetFindGun00,-,-,-,location04,environment01,外に繋がる扉,朽ちた屋敷は、かつての華やかさの分だけみすぼらしい。<br>床が軋む度に、虚しさがこみ上げてくる。
palace01,レンガ造りの館,palace,3,2,15,18,gun01,LocationOptionAfterSearchEvent,0.3/-/itemGetFindGun00,-,-,-,location32,environment01,外に繋がる扉,朽ちた屋敷は、かつての華やかさの分だけみすぼらしい。<br>床が軋む度に、虚しさがこみ上げてくる。
palace02,古めかしい館,palace,3,2,20,25,gun01,LocationOptionAfterSearchEvent,0.3/-/itemGetFindGun00,-,-,-,location10,environment01,外に繋がる扉,朽ちた屋敷は、かつての華やかさの分だけみすぼらしい。<br>床が軋む度に、虚しさがこみ上げてくる。
-,,,,,,,,,,,,,,,,
village00,山間の廃村,village,4,1,10,8,material04,-,-,-,-,-,location05,environment02,外に繋がる道,町は狭くないのに、どうしてか、誰もいないのが一目でわかる。<br>風と雨と鳥たちだけが、今でも変わらずに訪れている。
village01,霧の濃い村の跡,village,4,2,14,15,material04,-,-,-,-,-,location33,environment02,外に繋がる道,町は狭くないのに、どうしてか、誰もいないのが一目でわかる。<br>風と雨と鳥たちだけが、今でも変わらずに訪れている。
village02,バラの咲く廃村,village,4,2,18,20,material00,-,-,-,-,-,location49,environment02,外に繋がる道,町は狭くないのに、どうしてか、誰もいないのが一目でわかる。<br>風と雨と鳥たちだけが、今でも変わらずに訪れている。
-,,,,,,,,,,,,,,,,
camp00,川辺のキャンプ跡,camp,2,1,8,6,food00,LocationOptionAfterSearchEvent,1.0/riverside/checkFishing00,-,-,-,location12,environment03,外に繋がる道,誰かがキャンプをしていた跡を見つけた。<br>人の気配はないけれど、さっきまで誰かがいたみたいに道具だけが取り残されている。
camp01,森の奥のキャンプ跡,camp,2,1,15,16,food01,LocationOptionAfterSearchEvent,1.0/riverside/checkFishing00,-,-,-,location34,environment03,外に繋がる道,誰かがキャンプをしていた跡を見つけた。<br>人の気配はないけれど、さっきまで誰かがいたみたいに道具だけが取り残されている。
camp02,放置されたキャンプ跡,camp,2,2,18,24,food04,LocationOptionAfterSearchEvent,1.0/riverside/checkFishing00,-,-,-,location13,environment03,外に繋がる道,誰かがキャンプをしていた跡を見つけた。<br>人の気配はないけれど、さっきまで誰かがいたみたいに道具だけが取り残されている。
-,,,,,,,,,,,,,,,,
seaside00,人がいた跡のある砂浜,seaside,2,1,5,5,tool03,LocationOptionAfterSearchEvent,1.0/shore/checkFishing00,-,-,-,location14,environment04,外に繋がる道,さざ波の音が聞こえてくる。<br>砂浜には、誰かがここで一晩か二晩か、過ごした跡が残っていた。
seaside01,誰もいなくなった海辺,seaside,2,1,12,12,tool03,LocationOptionAfterSearchEvent,1.0/shore/checkFishing00,-,-,-,location35,environment04,外に繋がる道,さざ波の音が聞こえてくる。<br>砂浜には、誰かがここで一晩か二晩か、過ごした跡が残っていた。
seaside02,焚火の跡がある砂浜,seaside,2,2,18,18,tool03,LocationOptionAfterSearchEvent,1.0/shore/checkFishing00,-,-,-,location15,environment04,外に繋がる道,さざ波の音が聞こえてくる。<br>砂浜には、誰かがここで一晩か二晩か、過ごした跡が残っていた。
-,,,,,,,,,,,,,,,,
hotel00,誰もいないホテル,hotel,3,1,10,10,food06,LocationOptionExitBroken,0.2,-,-,-,location16,environment05,外に繋がる扉,明かりも人も消えてしまったホテルは、時が止まったみたいに取り残されていた。<br>ここで寝泊まりしようとは思えなかった。
hotel01,荒らされたあとのホテル,hotel,3,2,12,12,food06,LocationOptionExitBroken,0.2,-,-,-,location36,environment05,外に繋がる扉,明かりも人も消えてしまったホテルは、時が止まったみたいに取り残されていた。<br>ここで寝泊まりしようとは思えなかった。
hotel02,町のはずれのホテル,hotel,3,2,20,18,food06,LocationOptionExitBroken,0.2,-,-,-,location17,environment05,外に繋がる扉,明かりも人も消えてしまったホテルは、時が止まったみたいに取り残されていた。<br>ここで寝泊まりしようとは思えなかった。
-,,,,,,,,,,,,,,,,
library00,静まり返った図書館,library,2,1,5,4,material00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location18,environment01,外に繋がる扉,どんなに静かでも、それが図書館ならおかしなことじゃない。<br>変わらない本の匂いが、かつての日常を思い出させてくれる。
library01,誰もいない図書館,library,2,1,16,9,map01,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,InsertStageEventsEvent,0.3/enterEnemyHouse/exitEnemyHouse/battleForcibly00/3,-,location37,environment01,外に繋がる扉,どんなに静かでも、それが図書館ならおかしなことじゃない。<br>変わらない本の匂いが、かつての日常を思い出させてくれる。
library02,森閑とした図書館,library,2,2,21,15,postcard00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location19,environment01,外に繋がる扉,どんなに静かでも、それが図書館ならおかしなことじゃない。<br>変わらない本の匂いが、かつての日常を思い出させてくれる。
-,,,,,,,,,,,,,,,,
factory00,真っ暗な工場,factory,3,1,9,9,material04,LocationOptionExitBroken,1,-,-,-,location20,environment01,外に繋がる扉,電力を失った工場は、巨大な屍のような気味の悪さがあった。<br>錆びたり草木に覆われたり、まるでゆっくり腐っていくみたいだった。
factory01,音のしない工場,factory,3,1,16,15,material01,LocationOptionExitBroken,1,-,-,-,location38,environment01,外に繋がる扉,電力を失った工場は、巨大な屍のような気味の悪さがあった。<br>錆びたり草木に覆われたり、まるでゆっくり腐っていくみたいだった。
factory02,材料が放置された工場,factory,3,2,22,20,tool01,LocationOptionExitBroken,1,-,-,-,location21,environment01,外に繋がる扉,電力を失った工場は、巨大な屍のような気味の悪さがあった。<br>錆びたり草木に覆われたり、まるでゆっくり腐っていくみたいだった。
-,,,,,,,,,,,,,,,,
homeCenter00,静まり返ったホームセンター,homeCenter,3,1,8,9,hammer00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location22,environment00,外に繋がる扉,騒ぎが大きくなったあとも、ここを訪れた人は多いだろう。<br>無人のホームセンターは、ずいぶん荒らされている。
homeCenter01,よく音の響くホームセンター,homeCenter,3,2,16,18,hammer02,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location39,environment00,外に繋がる扉,騒ぎが大きくなったあとも、ここを訪れた人は多いだろう。<br>無人のホームセンターは、ずいぶん荒らされている。
homeCenter02,ガラス窓の割られたホームセンター,homeCenter,3,2,19,22,hammer03,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location23,environment00,外に繋がる扉,騒ぎが大きくなったあとも、ここを訪れた人は多いだろう。<br>無人のホームセンターは、ずいぶん荒らされている。
-,,,,,,,,,,,,,,,,
museum00,埃の積もった博物館,museum,2,1,9,4,material00,-,-,-,-,-,location24,environment05,外に繋がる扉,博物館というのはもともと静かなところだけれど、こうしてみると、やっぱり日常があった頃の静けさとはまるで違う。<br>動くものなんて何一つない、そのことが震えるほど恐ろしい。
museum01,放棄された博物館,museum,2,1,17,10,material00,-,-,-,-,-,location40,environment05,外に繋がる扉,博物館というのはもともと静かなところだけれど、こうしてみると、やっぱり日常があった頃の静けさとはまるで違う。<br>動くものなんて何一つない、そのことが震えるほど恐ろしい。
museum02,静まり返った博物館,museum,2,2,22,16,material13,LocationOptionExitBroken,0.2,-,-,-,location25,environment05,外に繋がる扉,博物館というのはもともと静かなところだけれど、こうしてみると、やっぱり日常があった頃の静けさとはまるで違う。<br>動くものなんて何一つない、そのことが震えるほど恐ろしい。
-,,,,,,,,,,,,,,,,
amusementPark00,人のいない遊園地,amusementPark,2,1,5,6,material11,-,-,InsertStageEventsEvent,0.3/enterEnemyHouse/exitEnemyHouse/battleForcibly00/2,-,location26,environment01,外に繋がる道,人のいない遊園地は、かつての賑やかさの分だけ不気味だった。<br>笑い声も悲鳴もない。<br>開けた敷地を風だけが駆け抜けていく。
amusementPark01,嫌な臭いのする遊園地,amusementPark,2,1,12,10,material11,-,-,InsertStageEventsEvent,0.2/enterEnemyHouse/exitEnemyHouse/battleForcibly00/3,-,location41,environment01,外に繋がる道,人のいない遊園地は、かつての賑やかさの分だけ不気味だった。<br>笑い声も悲鳴もない。<br>開けた敷地を風だけが駆け抜けていく。
amusementPark02,緑の溢れた遊園地,amusementPark,2,2,20,18,material11,-,-,InsertStageEventsEvent,0.1/enterEnemyHouse/exitEnemyHouse/battleForcibly00/4,-,location27,environment01,外に繋がる道,人のいない遊園地は、かつての賑やかさの分だけ不気味だった。<br>笑い声も悲鳴もない。<br>開けた敷地を風だけが駆け抜けていく。
-,,,,,,,,,,,,,,,,
school00,薄暗い小学校,school,3,1,18,15,tool00,-,-,-,-,-,location55,environment01,外に繋がる扉,人のいない学校というのは、どうしてこんなにも気味が悪いのだろう。<br>似たような学び舎に通っていたはずだけれど、思い出すことは何もない。<br>それくらい、誰もいない学校は日常から外れている。
school01,壁が蔦で覆われた学校,school,3,1,25,28,material00,-,-,-,-,-,location56,environment01,外に繋がる扉,人のいない学校というのは、どうしてこんなにも気味が悪いのだろう。<br>似たような学び舎に通っていたはずだけれど、思い出すことは何もない。<br>それくらい、誰もいない学校は日常から外れている。
school02,静まり返った高校,school,3,2,32,38,material00,-,-,-,-,-,location57,environment01,外に繋がる扉,人のいない学校というのは、どうしてこんなにも気味が悪いのだろう。<br>似たような学び舎に通っていたはずだけれど、思い出すことは何もない。<br>それくらい、誰もいない学校は日常から外れている。
school100,剣道場のある学校,school,1,0,0,0,-,-,-,ConfirmEnemyBossSurvivorEvent,encountSurvivor/id/enemyBoss101,minamo00,scenario26,environment01,外に繋がる扉,人のいない学校というのは、どうしてこんなにも気味が悪いのだろう。<br>似たような学び舎に通っていたはずだけれど、思い出すことは何もない。<br>それくらい、誰もいない学校は日常から外れている。
-,,,,,,,,,,,,,,,,
underpass00,駅に繋がる地下道,underpass,4,1,20,28,parts00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location58,environment05,外に繋がる階段,階段を下ると、真っ暗な道がどこまでも続いている。<br>放置された地下道は、街の真ん中にありながら、もう自然の一部に還っている。
underpass01,湿気の多い地下道,underpass,4,1,38,40,parts00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location59,environment05,外に繋がる階段,階段を下ると、真っ暗な道がどこまでも続いている。<br>放置された地下道は、街の真ん中にありながら、もう自然の一部に還っている。
underpass02,強い風の吹く地下道,underpass,4,1,42,45,parts00,LocationOptionAfterSearchEvent,0.8/-/itemGetFindHammer00,-,-,-,location60,environment05,外に繋がる階段,階段を下ると、真っ暗な道がどこまでも続いている。<br>放置された地下道は、街の真ん中にありながら、もう自然の一部に還っている。
-,,,,,,,,,,,,,,,,
cafe00,小さな喫茶店,cafe,2,1,18,20,food06,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location61,environment06,外に繋がる扉,荒らされた跡のないこじんまりとしたお店に入ると、なんだか安心する。<br>人の住んでいた家々よりも、こういうお店の方がかつての姿のままだったりする。
cafe01,窓の大きなカフェ,cafe,2,1,30,35,food06,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location62,environment06,外に繋がる扉,荒らされた跡のないこじんまりとしたお店に入ると、なんだか安心する。<br>人の住んでいた家々よりも、こういうお店の方がかつての姿のままだったりする。
cafe02,広い喫茶店,cafe,2,1,38,45,food06,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location63,environment06,外に繋がる扉,荒らされた跡のないこじんまりとしたお店に入ると、なんだか安心する。<br>人の住んでいた家々よりも、こういうお店の方がかつての姿のままだったりする。
-,,,,,,,,,,,,,,,,
station00,陽の当たる駅,station,2,2,22,25,map00,-,-,InsertStageEventsEvent,0.3/enterEnemyHouse/exitEnemyHouse/battleForcibly00/2,-,location64,environment02,外に繋がる道,待っていても、二度と列車はやってこない。<br>そう思うけれど、でも、こうして駅でぼぅっとする退屈さは今も昔も変わらない。<br>日常があった頃と同じ時間が、今もここに流れている。
station01,地下鉄の駅,station,2,2,22,36,map01,-,-,InsertStageEventsEvent,0.2/enterEnemyHouse/exitEnemyHouse/battleForcibly00/3,-,location65,environment02,外に繋がる道,待っていても、二度と列車はやってこない。<br>そう思うけれど、でも、こうして駅でぼぅっとする退屈さは今も昔も変わらない。<br>日常があった頃と同じ時間が、今もここに流れている。
station02,寂れた駅,station,2,2,35,48,map01,-,-,InsertStageEventsEvent,0.1/enterEnemyHouse/exitEnemyHouse/battleForcibly00/4,-,location66,environment02,外に繋がる道,待っていても、二度と列車はやってこない。<br>そう思うけれど、でも、こうして駅でぼぅっとする退屈さは今も昔も変わらない。<br>日常があった頃と同じ時間が、今もここに流れている。
-,,,,,,,,,,,,,,,,
restaurant00,薄暗いレストラン,restaurant,3,1,20,18,food04,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location67,environment00,外に繋がる扉,丁寧に食器が並べられ、客を迎える準備の整ったままのテーブルがあったりする。<br>かと思えば、棚のガラスが割られていたりする。<br>そういうちぐはぐさの上に、今こうして生きているのだと思った。
restaurant01,小洒落たレストラン,restaurant,3,1,34,28,food04,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location68,environment00,外に繋がる扉,丁寧に食器が並べられ、客を迎える準備の整ったままのテーブルがあったりする。<br>かと思えば、棚のガラスが割られていたりする。<br>そういうちぐはぐさの上に、今こうして生きているのだと思った。
restaurant02,ガラス窓の大きなレストラン,restaurant,3,1,42,34,food04,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location69,environment00,外に繋がる扉,丁寧に食器が並べられ、客を迎える準備の整ったままのテーブルがあったりする。<br>かと思えば、棚のガラスが割られていたりする。<br>そういうちぐはぐさの上に、今こうして生きているのだと思った。
-,,,,,,,,,,,,,,,,
prison00,小さな収容施設,prison,2,1,10,15,ammo00,LocationOptionExitLocked,1/exitKey00/1,-,-,-,location42,environment05,外に繋がる門,どういう人たちを留めておくところだったのだろう。<br>人がいなくなる前、ここは今より賑やかだっただろうか。それとも、もっと重たい沈黙に満ちていただろうか。
prison01,陽の差す収容所,prison,3,2,15,0,ammo00,LocationOptionExitLocked,0.5/exitKey00/1,ConfirmEnemyBossEvent,encount/bossLevel/15,-,location50,environment05,外に繋がる門,どういう人たちを留めておくところだったのだろう。<br>人がいなくなる前、ここは今より賑やかだっただろうか。それとも、もっと重たい沈黙に満ちていただろうか。
prison02,水音の聞こえる収容施設,prison,3,2,18,0,ammo01,LocationOptionExitLocked,0.5/exitKey00/1,ConfirmEnemyBossEvent,encount/bossLevel/25,-,location54,environment05,外に繋がる門,どういう人たちを留めておくところだったのだろう。<br>人がいなくなる前、ここは今より賑やかだっただろうか。それとも、もっと重たい沈黙に満ちていただろうか。
-,,,,,,,,,,,,,,,,
storehouse00,郊外の巨大な倉庫,storehouse,2,1,25,5,-,LocationOptionExitLocked,1/exitKey01/1,-,-,-,location43,environment01,外に繋がる大きな扉,流通の途絶えた倉庫は、しんと静まり返っている。<br>まるで巨大な生き物の亡骸の中に入っていくみたいで、気味が悪かった。
storehouse01,奇妙な地下倉庫,storehouse,3,0,20,0,-,-,-,ConfirmEnemyBossEvent,encount/id/enemyBoss01,-,location47,environment01,外に繋がる大きな扉,流通の途絶えた倉庫は、しんと静まり返っている。<br>まるで巨大な生き物の亡骸の中に入っていくみたいで、気味が悪かった。
storehouse02,荒んだ廃倉庫,storehouse,3,2,20,0,-,LocationOptionExitBroken,1,ConfirmEnemyBossEvent,encount/bossLevel/30,-,location51,environment01,外に繋がる大きな扉,流通の途絶えた倉庫は、しんと静まり返っている。<br>まるで巨大な生き物の亡骸の中に入っていくみたいで、気味が悪かった。
storehouse03,崩れかけの物置,storehouse,3,2,20,0,-,LocationOptionExitBroken,1,ConfirmEnemyBossEvent,encount/id/enemyBoss02,-,location70,environment01,外に繋がる大きな扉,流通の途絶えた倉庫は、しんと静まり返っている。<br>まるで巨大な生き物の亡骸の中に入っていくみたいで、気味が悪かった。
-,,,,,,,,,,,,,,,,
hospital00,小さな病院,hospital,3,0,12,0,heal00,-,-,ConfirmEnemyBossEvent,encount/id/enemyBoss00,-,location44,environment01,外に繋がる扉,しん、と静まり返っていた。<br>奥まで伸びる白い壁が、だんだん暗がりに呑まれていく。
hospital01,窓の少ない診療所,hospital,3,0,18,0,heal00,LocationOptionExitBroken,1,ConfirmEnemyBossEvent,encount/id/enemyBoss03,-,location48,environment01,外に繋がる扉,しん、と静まり返っていた。<br>奥まで伸びる白い壁が、だんだん暗がりに呑まれていく。
hospital02,静まり返った総合病院,hospital,3,1,18,0,heal00,-,-,ConfirmEnemyBossEvent,encount/bossLevel/30,-,location52,environment01,外に繋がる扉,しん、と静まり返っていた。<br>奥まで伸びる白い壁が、だんだん暗がりに呑まれていく。
-,,,,,,,,,,,,,,,,
theater00,小さな映画館,theater,2,0,30,0,journey00,-,-,ConfirmEnemyBossEvent,encount/bossLevel/30,-,location73,environment01,外に繋がる扉,こんなことになる前のこの場所は、今より騒がしかっただろうか。それとも、同じような静かな時間が流れていただろうか。<br>舞台の袖には、何が隠れているだろう。
theater01,公民館のホール,theater,2,0,40,0,journey00,-,-,ConfirmEnemyBossEvent,encount/bossLevel/40,-,location74,environment01,外に繋がる扉,こんなことになる前のこの場所は、今より騒がしかっただろうか。それとも、同じような静かな時間が流れていただろうか。<br>舞台の袖には、何が隠れているだろう。
theater02,地下の劇場,theater,2,0,50,0,journey00,-,-,ConfirmEnemyBossEvent,encount/bossLevel/50,-,location75,environment01,外に繋がる扉,こんなことになる前のこの場所は、今より騒がしかっただろうか。それとも、同じような静かな時間が流れていただろうか。<br>舞台の袖には、何が隠れているだろう。
-,,,,,,,,,,,,,,,,
foodStorage00,小さな食糧庫,foodStorage,2,0,15,0,-,-,-,SpeakEvent,safeLocation,-,location45,environment06,外に繋がる扉,誰が、なんのために貯めておいたものだろう。在庫だろうか、それとも備蓄だろうか。<br>何だったとしても、誰かの蓄えが今、自分たちの命を繋いでいる。
foodStorage01,広い食糧庫,foodStorage,4,0,40,0,-,-,-,SpeakEvent,safeLocation,-,location71,environment06,外に繋がる扉,誰が、なんのために貯めておいたものだろう。在庫だろうか、それとも備蓄だろうか。<br>何だったとしても、誰かの蓄えが今、自分たちの命を繋いでいる。
-,,,,,,,,,,,,,,,,
armoury00,小さな武器庫,armoury,2,0,15,0,-,-,-,SpeakEvent,safeLocation,-,location46,environment05,外に繋がる扉,薄暗い中に、日常とはかけ離れた品が並ぶ。<br>きっと火薬の臭いが立ち込めているだろう。それを火薬の臭いだとわかる彼女たちの「日常」を、ずっと遠くに感じる。
armoury01,広い武器庫,armoury,4,0,40,0,-,-,-,SpeakEvent,safeLocation,-,location72,environment05,外に繋がる扉,薄暗い中に、日常とはかけ離れた品が並ぶ。<br>きっと火薬の臭いが立ち込めているだろう。それを火薬の臭いだとわかる彼女たちの「日常」を、ずっと遠くに感じる。
-,,,,,,,,,,,,,,,,
baseCamp00,小さな町の空き地,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp0-1/endless/town,-,baseCamp00,story00,-,開けた土地を風が抜けていく。<br>穏やかな風だった。<br>自分の息遣いしか聞こえない静けさが、どうしてかここでは心地いい。
baseCamp01,都会の駐車場,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp1-1/endless/city,-,baseCamp01,story00,-,開けた土地を風が抜けていく。<br>穏やかな風だった。<br>自分の息遣いしか聞こえない静けさが、どうしてかここでは心地いい。
baseCamp02,森の中のキャンプサイト,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp2-1/endless/forest,-,baseCamp02,story00,-,開けた土地を風が抜けていく。<br>穏やかな風だった。<br>自分の息遣いしか聞こえない静けさが、どうしてかここでは心地いい。
baseCamp03,郊外の大きな公園,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp3-1/endless/suburb,-,baseCamp03,story00,-,開けた土地を風が抜けていく。<br>穏やかな風だった。<br>自分の息遣いしか聞こえない静けさが、どうしてかここでは心地いい。
baseCamp04,村の外れの草原,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp4-1/endless/village,-,baseCamp04,story00,-,開けた土地を風が抜けていく。<br>穏やかな風だった。<br>自分の息遣いしか聞こえない静けさが、どうしてかここでは心地いい。
baseCamp05,山の中腹の駐車場,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp5-1/endless/mountain,-,baseCamp05,story00,-,開けた土地を風が抜けていく。<br>穏やかな風だった。<br>自分の息遣いしか聞こえない静けさが、どうしてかここでは心地いい。
baseCamp06,海辺のキャンプサイト,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp6-1/endless/seaside,-,baseCamp06,story00,-,開けた土地を風が抜けていく。<br>穏やかな風だった。<br>自分の息遣いしか聞こえない静けさが、どうしてかここでは心地いい。
baseCamp07,線路沿いの空き地,baseCamp,1,0,0,0,-,-,-,ConfirmEnterBaseCampEvent,baseCamp7-1/endless/railway,-,baseCamp07,story00,-,開けた土地を風が抜けていく。<br>穏やかな風だった。<br>自分の息遣いしか聞こえない静けさが、どうしてかここでは心地いい。
-,,,,,,,,,,,,,,,,