id,priority,stage,count,text<jpn>
object_anywhere00,-1,-,2,{0}も、{1}も、寝静まっている。<br>ここを去ってしまったら、もう二度と、誰かに見つけられることはないかもしれない。
object_anywhere01,-1,-,3,{0}、{1}、{2}......みんな、もともとは持ち主がいただろう。<br>今となっては、使われていた頃の様子を想像することさえできない。
object_anywhere02,-1,-,2,見渡せば、{0}や{1}が目に入った。<br>静かだけれど、人のいた跡はある。
object_anywhere03,-1,-,1,ふと、薄暗闇の中に{0}があるのを見つけた。<br>静かに、ただ、そこにある。
object_anywhere04,-1,-,1,物陰の向こうに{0}が隠れていた。<br>誰かがここを通っても、きっと気づくことはなかっただろう。
object_anywhere05,-1,-,1,光がちらついているのが見えて、そこに{0}があるのがわかった。
object_anywhere06,-1,-,1,一瞬、空気の流れさえ止まって見えた。<br>{0}が、その静けさの中に取り残されている。
-,,,,
secondary00,0,secondary,1,{0}が残されている。
secondary01,0,secondary,2,{0}と{1}が残されている。
secondary02,0,secondary,3,{0}と{1}、{2}が残されている。
secondary03,0,secondary,4,{0}、{1}、{2}と{3}が残されている。
secondary04,0,secondary,5,{0}、{1}、{2}、{3}や{4}が残されている。
secondary05,0,secondary,6,{0}や{1}、{2}、{3}、{4}に{5}が残されている。
-,,,,
bridge00,0,bridge,1,奥に{0}が見えた。
bridge01,0,bridge,1,向こうに{0}がある。
bridge02,0,bridge,1,目を凝らせば{0}が見える。
bridge03,0,bridge,1,少し先に{0}がある。
bridge04,0,bridge,1,すぐ先に{0}が見えた。
bridge05,0,bridge,2,少し行けば{0}と{1}がある。
bridge06,0,bridge,2,右手に{0}、左手に{1}が見えた。
bridge07,0,bridge,2,歩く先に{0}や{1}がある。
bridge08,0,bridge,2,行く先にあるのは{0}や{1}だった。
bridge09,0,bridge,3,奥に{0}と{1}、それから{2}が見えた。
bridge10,0,bridge,3,{0}、{1}、{2}が先に続いている。
-,,,,
object_room00,0,room,3,{0}、{1}、{2}......<br>主を失ったものたちが、ひっそりと、流れる時に身を沈めている。
object_room01,0,room,3,全部、部屋の持ち主が置いていったものだろうか。<br>{0}、{1}、{2}、みんな、どこか寂しげだった。
object_corridor00,0,corridor,2,最後にここを通ったのは誰だろう。<br>{0}にも、{1}にも、埃が積もっている。
object_corridor01,0,corridor,2,{0}や{1}が脇に寄せられている。
object_bath00,0,bath,1,{0}が、水に跳ね返された光できらきら輝いている。<br>生きているみたいな揺らめきに、思わず身がすくむ。
object_bath01,0,bath,1,{0}も、ずっとこんなところにあったのではカビも生える。
object_warehouse00,0,warehouse,3,時が止まってしまったみたいだった。<br>{0}、{1}、{2}、ずっと昔からここにあったのだろうか。
object_warehouse01,0,warehouse,3,薄暗い中に、ものの輪郭が見える。<br>{0}、{1}、{2}、眠っているなら、そのままにしておいた方がいいのでは、と思ってしまう。
object_kitchen00,0,kitchen,3,きっと慌てて逃げたのだろう。<br>{0}や{1}、{2}が、散らかされたまま放置されている。
object_kitchen01,0,kitchen,3,{0}、{1}、{2}、かつて使われていた跡があればあるほど、虚しい思いになる。
object_shop00,0,shop,3,見回せば、{0}や、{1}や、{2}が目に入る。<br>もちろん、もともとあった姿からはずいぶんかけ離れてしまっている。
object_shop01,0,shop,3,{0}や{1}、{2}が残されていた。<br>窓の大きな店は、光が奥までよく届く。
object_office00,0,office,2,デスクの並んだ部屋はずいぶん散らかされている。<br>{0}、{1}......いろんなものが散乱している。
object_office01,0,office,2,{0}、{1}、何事もなかったかのように整頓されているものもあれば、当時の騒動を思わせるものもある。
object_hall00,0,hall,4,煌びやかだったはずの広間。<br>{0}や{1}、{2}も、{3}も、今はただ静かに再び光を受けるのを待っている。
object_hall01,0,hall,4,こんなに広い空間の中では、{0}、{1}、{2}も{3}も縮こまって見える。
object_square00,0,square,3,往来のなくなってしまった道には、{0}や、{1}、{2}が放置されている。<br>いつか、道も道でなくなってしまうのだろうか。
object_square01,0,square,3,誰もいない。<br>だからって残されたものが消えるわけはない。<br>{0}も{1}も{2}も、かつての姿のままとはいえないけれど、まだそこにある。
object_road00,0,road,2,細い道にものが投げ込まれている。<br>{0}、{1}、荒れ果てて見えても、誰かがここにいたんだと思い出す。
object_road01,0,road,2,道を塞ぐようにして{0}が、{1}が放置されている。<br>そのくらい珍しくもないけれど。
object_garden00,0,garden,2,{0}も、{1}も、もともとここにあったものだろうか。<br>きっと手入れされていたはずの庭も、今となっては見る影もない。
object_garden01,0,garden,2,人が入ったのか、それとも獣がやってきたのか。<br>{0}も{1}も荒らされて見える。
object_tent00,0,tent,2,テントの中には、{0}、{1}と、誰かの荷物がそのまま残されている。<br>ここでいったい何があったのか、想像するしかない。
object_tent01,0,tent,2,人はいないのにテントだけが残されている。<br>{0}も{1}も、そのまま残っている。
object_grassland00,0,grassland,3,見晴らしがよかった。<br>{0}、{1}、{2}、ここから見えるだけでも、人の痕跡が残っているのがわかる。
object_grassland01,0,grassland,3,芝生が伸びてきて、いろんなものを覆い隠している。<br>それでも{0}と{1}と{2}はなんとか見つけた。
object_riverside00,0,riverside,2,澄んだ空気の中に、{0}や{1}が残されている。<br>でも、人の姿は見つけられない。
object_riverside01,0,riverside,2,川のせせらぎは涼しげだけれど、{0}や{1}はどこか不気味だった。
object_beach00,0,beach,2,細波の音の中に、{0}や{1}が見えた。<br>誰かの手を離れた漂着物が残されている。
object_beach01,0,beach,2,{0}、{1}、潮の香りの中に佇んでいる。
object_shore00,0,shore,1,満ち潮の時間だろうか。<br>{0}が波の音と一緒に残されている。
object_shore01,0,shore,1,{0}を見つけた。穏やかな潮風に揺られている。
object_library00,0,library,2,本に交じって、{0}や{1}が残されている。<br>やっぱり、ここにも誰かがいたのだろう。
object_library01,0,library,2,本の臭いが濃く漂う中に、{0}や{1}が残されている。
object_machineRoom00,0,machineRoom,3,放置されている{0}や{1}、{2}は、いつからそうしているのだろう。<br>部屋が広い分、残されたものたちの虚しさが強く感じられた。
object_machineRoom01,0,machineRoom,3,動くこともなければ、誰かに運ばれることもない。<br>{0}も{1}も{2}も、ここで静かに朽ちていくのを待っている。
object_carryIn00,0,carryIn,4,{0}、{1}、{2}、{3}......かつてここに運び込まれたものだろうか。<br>埃が積もってしまって、もう二度と運び出されることはない。
object_carryIn01,0,carryIn,4,本当はここが最後ではなく、またどこかへ運び出されるはずだっただろう。<br>{0}や{1}、{2}も{3}も、哀愁に影を落としている。
object_parking00,0,parking,3,広い駐車場にぽつぽつとものが残されている。<br>{0}、{1}、{2}......ひっそりと日差しや雨風に耐えている。
object_parking01,0,parking,3,こんなに暑い駐車場なら、誰の姿もなくったって奇妙じゃない。<br>それなのに......{0}、{1}、{2}、どうしてこんなにも寂しげなのか。
object_gallery00,0,gallery,2,{0}や{1}が乱雑に放置されている。<br>ここにも混乱があったのだと実感した。
object_gallery01,0,gallery,2,あまりに静かで、{0}や{1}が今に動き出さないかと、いらぬ想像をしてしまう。
object_attractions00,0,attractions,2,乗り物のそばに放置されている{0}や{1}には、異様な静けさがあった。<br>こんなところでさえ、以前のままではいられない。
object_attractions01,0,attractions,2,賑やかさが失われても、{0}も{1}もここにある。<br>ぽつんとたたずむ様は、いかにももの寂しい。
object_hospitalRoom00,0,hospitalRoom,3,今でも薬品の臭いが漂っている。<br>{0}にも、{1}にも、{2}にも、臭いが染みつているかもしれない。
object_hospitalRoom00,0,hospitalRoom,3,張り詰めるような空気の中に{0}や{1}、{2}が残されていた。<br>見ているだけで、息が苦しくなる。
object_classroom00,0,classroom,2,教室の独特の匂いの中に、{0}や{1}が残されている。
object_classroom01,0,classroom,2,開け放たれた窓から爽やかな風が入ってくる。<br>教室の隅で{0}や{1}がそよ風に撫でられていた。
object_underpass00,0,underpass,3,どこまで続いて見える道の隅に、{0}や{1}、{2}が残されている。
object_underpass01,0,underpass,3,暗闇の先を照らしてみれば、{0}、{1}、{2}......いろんなものが見つかる。<br>これからずっと、ここで陽も浴びずに過ごすのだろうか。
object_dining00,0,dining,2,テーブルの陰に{0}や{1}が見つかった。
object_dining01,0,dining,2,{0}に{1}......誰もいなくなってしまったけれど、そのまま残されたものがたくさんある。
object_marble00,0,marble,2,耳を澄ましていると、{0}や{1}が聞こえてくるような気がする。
object_marble01,0,marble,2,{0}、{1}......今聞こえたような気がするのは、気のせいだろうか。
object_marble02,0,marble,2,{0}が聞こえた。{1}も。空耳でなければ。
object_marble03,0,marble,2,何もかも、錯覚に思えてくる。{0}や{1}、今、聞こえたような気がするけれど。
-,,,,